Title,Date,Session,URL
The Godhead and the Plan of Salvation,April 2017,Sunday morning session,https://www.churchofjesuschrist.org/study/general-conference/2016/04/opposition-in-all-things?lang=eng
The Plan and the Proclamation,October 2017,Saturday morning session,https://www.churchofjesuschrist.org/study/general-conference/2017/10/the-plan-and-the-proclamation?lang=eng
The Powers of the Priesthood,April 2018,general priesthood session,https://www.churchofjesuschrist.org/study/general-conference/2018/04/the-powers-of-the-priesthood?lang=eng
Small and Simple Things,April 2018,Sunday morning session,https://www.churchofjesuschrist.org/study/general-conference/2018/04/small-and-simple-things?lang=eng
Parents and Children,October 2018,general women’s session,https://www.churchofjesuschrist.org/study/general-conference/2018/10/parents-and-children?lang=eng
Where Will This Lead?,April 2019,general priesthood session,https://www.churchofjesuschrist.org/study/general-conference/2019/04/35oaks?lang=eng
Cleansed by Repentance,April 2019,Sunday afternoon session,https://www.churchofjesuschrist.org/study/general-conference/2019/04/51oaks?lang=eng
Trust in the Lord,October 2019,Saturday morning session,https://www.churchofjesuschrist.org/study/general-conference/2019/10/17oaks?lang=eng
Two Great Commandments,October 2019,women’s session,https://www.churchofjesuschrist.org/study/general-conference/2019/10/35oaks?lang=eng
The Melchizedek Priesthood and the Keys,April 2020,Saturday evening session,https://www.churchofjesuschrist.org/study/general-conference/2020/04/36oaks?lang=eng
The Great Plan,April 2020,Sunday afternoon session,https://www.churchofjesuschrist.org/study/general-conference/2020/04/51oaks?lang=eng
Love Your Enemies,October 2020,Saturday morning session,https://www.churchofjesuschrist.org/study/general-conference/2020/10/17oaks?lang=eng
Be of Good Cheer,October 2020,women’s session,https://www.churchofjesuschrist.org/study/general-conference/2020/10/36oaks?lang=eng
What Has Our Savior Done for Us?,April 2021,general priesthood session,https://www.churchofjesuschrist.org/study/general-conference/2021/04/35oaks?lang=eng
Defending Our Divinely Inspired Constitution,April 2021,Sunday afternoon session,https://www.churchofjesuschrist.org/study/general-conference/2021/04/51oaks?lang=eng
The Need for a Church,October 2021,Saturday morning session,https://www.churchofjesuschrist.org/study/general-conference/2021/10/18oaks?lang=eng
Introductory Message,April 2022,women’s session,https://www.churchofjesuschrist.org/study/general-conference/2022/04/31oaks?lang=eng
Divine Love in the Father’s Plan,April 2022,Sunday afternoon session,https://www.churchofjesuschrist.org/study/general-conference/2022/04/51oaks?lang=eng
Helping the Poor and Distressed,October 2022,Saturday morning session,https://www.churchofjesuschrist.org/study/general-conference/2022/10/18oaks?lang=eng
The Teachings of Jesus Christ,April 2023,Sunday afternoon session,https://www.churchofjesuschrist.org/study/general-conference/2023/04/51oaks?lang=eng
Kingdoms of Glory,October 2023,Saturday morning session,https://www.churchofjesuschrist.org/study/general-conference/2023/10/17oaks?lang=eng
Covenants and Responsibilities,April 2024,Sunday morning session,https://www.churchofjesuschrist.org/study/general-conference/2024/04/47oaks?lang=eng
Following Christ,October 2024,Saturday morning session,https://www.churchofjesuschrist.org/study/general-conference/2024/10/18oaks?lang=eng
Divine Helps for Mortality,April 2025,Sunday morning session,https://www.churchofjesuschrist.org/study/general-conference/2025/04/47oaks?lang=eng
Introduction,October 2025,Saturday morning session,https://www.churchofjesuschrist.org/study/general-conference/2025/10/19oaks?lang=eng
The Family-Centered Gospel of Jesus Christ,October 2025,Sunday afternoon session,https://www.churchofjesuschrist.org/study/general-conference/2025/10/58oaks?lang=eng
